table_sql,var_name,file,column_prop,column_type,sql_col,not_null,pk,fk_target
adaptation_programs,adaptationPrograms,adaptation.ts,id,serial,id,false,true,
adaptation_programs,adaptationPrograms,adaptation.ts,programName,varchar,program_name,true,false,
adaptation_programs,adaptationPrograms,adaptation.ts,positionId,integer,position_id,false,false,
adaptation_programs,adaptationPrograms,adaptation.ts,departmentId,integer,department_id,false,false,
adaptation_programs,adaptationPrograms,adaptation.ts,durationDays,integer,duration_days,false,false,
adaptation_programs,adaptationPrograms,adaptation.ts,description,text,description,false,false,
adaptation_programs,adaptationPrograms,adaptation.ts,milestones,text,milestones,false,false,
adaptation_programs,adaptationPrograms,adaptation.ts,mentorRequired,boolean,mentor_required,false,false,
adaptation_programs,adaptationPrograms,adaptation.ts,isActive,boolean,is_active,false,false,
adaptation_programs,adaptationPrograms,adaptation.ts,createdAt,timestamp,created_at,true,false,
adaptation_records,adaptationRecords,adaptation.ts,id,serial,id,false,true,
adaptation_records,adaptationRecords,adaptation.ts,employeeId,integer,employee_id,true,false,employees.id
adaptation_records,adaptationRecords,adaptation.ts,programId,integer,program_id,true,false,adaptationPrograms.id
adaptation_records,adaptationRecords,adaptation.ts,mentorId,integer,mentor_id,false,false,employees.id
adaptation_records,adaptationRecords,adaptation.ts,professionalMasterId,integer,professional_master_id,false,false,employees.id
adaptation_records,adaptationRecords,adaptation.ts,startDate,date,start_date,true,false,
adaptation_records,adaptationRecords,adaptation.ts,endDate,date,end_date,false,false,
adaptation_records,adaptationRecords,adaptation.ts,status,varchar,status,false,false,
adaptation_records,adaptationRecords,adaptation.ts,currentMilestone,integer,current_milestone,false,false,
adaptation_records,adaptationRecords,adaptation.ts,totalMilestones,integer,total_milestones,false,false,
adaptation_records,adaptationRecords,adaptation.ts,progressPercent,integer,progress_percent,false,false,
adaptation_records,adaptationRecords,adaptation.ts,mentorFeedback,text,mentor_feedback,false,false,
adaptation_records,adaptationRecords,adaptation.ts,employeeFeedback,text,employee_feedback,false,false,
adaptation_records,adaptationRecords,adaptation.ts,hrNotes,text,hr_notes,false,false,
adaptation_records,adaptationRecords,adaptation.ts,completedDate,date,completed_date,false,false,
adaptation_records,adaptationRecords,adaptation.ts,isExtended,boolean,is_extended,false,false,
adaptation_records,adaptationRecords,adaptation.ts,extensionReason,text,extension_reason,false,false,
adaptation_records,adaptationRecords,adaptation.ts,createdAt,timestamp,created_at,true,false,
adaptation_records,adaptationRecords,adaptation.ts,updatedAt,timestamp,updated_at,true,false,
asset_items,assetItems,admin-assets.ts,id,uuid,id,false,true,
asset_items,assetItems,admin-assets.ts,name,text,name,true,false,
asset_items,assetItems,admin-assets.ts,assetCode,text,asset_code,false,false,
asset_items,assetItems,admin-assets.ts,category,text,category,true,false,
asset_items,assetItems,admin-assets.ts,status,text,status,true,false,
asset_items,assetItems,admin-assets.ts,purchaseDate,timestamp,purchase_date,false,false,
asset_items,assetItems,admin-assets.ts,purchaseValue,text,purchase_value,false,false,
asset_items,assetItems,admin-assets.ts,currentValue,text,current_value,false,false,
asset_items,assetItems,admin-assets.ts,location,text,location,false,false,
asset_items,assetItems,admin-assets.ts,assignedTo,text,assigned_to,false,false,
asset_items,assetItems,admin-assets.ts,departmentId,integer,department_id,false,false,
asset_items,assetItems,admin-assets.ts,serialNumber,text,serial_number,false,false,
asset_items,assetItems,admin-assets.ts,notes,text,notes,false,false,
asset_items,assetItems,admin-assets.ts,createdAt,timestamp,created_at,true,false,
asset_items,assetItems,admin-assets.ts,updatedAt,timestamp,updated_at,true,false,
asset_items,assetItems,admin-assets.ts,purchasePrice,text,purchase_price,false,false,
asset_items,assetItems,admin-assets.ts,depreciationMethod,text,depreciation_method,false,false,
asset_items,assetItems,admin-assets.ts,usefulLife,integer,useful_life,false,false,
asset_items,assetItems,admin-assets.ts,salvageValue,text,salvage_value,false,false,
asset_items,assetItems,admin-assets.ts,accumulatedDepreciation,text,accumulated_depreciation,false,false,
asset_items,assetItems,admin-assets.ts,condition,text,condition,false,false,
asset_items,assetItems,admin-assets.ts,lastInventoryDate,timestamp,last_inventory_date,false,false,
asset_maintenance,assetMaintenance,admin-assets.ts,id,uuid,id,false,true,
asset_maintenance,assetMaintenance,admin-assets.ts,assetId,uuid,asset_id,true,false,
asset_maintenance,assetMaintenance,admin-assets.ts,maintenanceType,text,maintenance_type,true,false,
asset_maintenance,assetMaintenance,admin-assets.ts,scheduledAt,timestamp,scheduled_at,false,false,
asset_maintenance,assetMaintenance,admin-assets.ts,completedAt,timestamp,completed_at,false,false,
asset_maintenance,assetMaintenance,admin-assets.ts,cost,text,cost,false,false,
asset_maintenance,assetMaintenance,admin-assets.ts,notes,text,notes,false,false,
asset_maintenance,assetMaintenance,admin-assets.ts,status,text,status,true,false,
asset_maintenance,assetMaintenance,admin-assets.ts,createdAt,timestamp,created_at,true,false,
asset_disposals,assetDisposals,admin-assets.ts,id,uuid,id,false,true,
asset_disposals,assetDisposals,admin-assets.ts,assetId,uuid,asset_id,true,false,
asset_disposals,assetDisposals,admin-assets.ts,disposalType,text,disposal_type,true,false,
asset_disposals,assetDisposals,admin-assets.ts,disposalDate,timestamp,disposal_date,false,false,
asset_disposals,assetDisposals,admin-assets.ts,saleValue,text,sale_value,false,false,
asset_disposals,assetDisposals,admin-assets.ts,reason,text,reason,false,false,
asset_disposals,assetDisposals,admin-assets.ts,approvedBy,text,approved_by,false,false,
asset_disposals,assetDisposals,admin-assets.ts,createdAt,timestamp,created_at,true,false,
asset_disposals,assetDisposals,admin-assets.ts,disposalValue,text,disposal_value,false,false,
asset_disposals,assetDisposals,admin-assets.ts,bookValueAtDisposal,text,book_value_at_disposal,false,false,
asset_disposals,assetDisposals,admin-assets.ts,gainLoss,text,gain_loss,false,false,
asset_disposals,assetDisposals,admin-assets.ts,notes,text,notes,false,false,
asset_transfers,assetTransfers,admin-assets.ts,id,uuid,id,false,true,
asset_transfers,assetTransfers,admin-assets.ts,assetId,uuid,asset_id,true,false,
asset_transfers,assetTransfers,admin-assets.ts,fromDeptId,integer,from_dept_id,false,false,
asset_transfers,assetTransfers,admin-assets.ts,toDeptId,integer,to_dept_id,false,false,
asset_transfers,assetTransfers,admin-assets.ts,transferDate,timestamp,transfer_date,false,false,
asset_transfers,assetTransfers,admin-assets.ts,reason,text,reason,false,false,
asset_transfers,assetTransfers,admin-assets.ts,approvedBy,text,approved_by,false,false,
asset_transfers,assetTransfers,admin-assets.ts,createdAt,timestamp,created_at,true,false,
asset_transfers,assetTransfers,admin-assets.ts,toDepartmentId,integer,to_department_id,false,false,
asset_transfers,assetTransfers,admin-assets.ts,fromLocation,text,from_location,false,false,
asset_transfers,assetTransfers,admin-assets.ts,toLocation,text,to_location,false,false,
asset_transfers,assetTransfers,admin-assets.ts,transferredBy,text,transferred_by,false,false,
asset_transfers,assetTransfers,admin-assets.ts,receivedBy,text,received_by,false,false,
asset_transfers,assetTransfers,admin-assets.ts,status,text,status,false,false,
asset_transfers,assetTransfers,admin-assets.ts,notes,text,notes,false,false,
agent_alerts,agentAlerts,agent-schema.ts,id,uuid,id,false,true,
agent_alerts,agentAlerts,agent-schema.ts,agentName,varchar,agent_name,true,false,
agent_alerts,agentAlerts,agent-schema.ts,severity,varchar,severity,true,false,
agent_alerts,agentAlerts,agent-schema.ts,title,varchar,title,true,false,
agent_alerts,agentAlerts,agent-schema.ts,message,text,message,true,false,
agent_alerts,agentAlerts,agent-schema.ts,targetUserId,integer,target_user_id,false,false,
agent_alerts,agentAlerts,agent-schema.ts,targetRole,varchar,target_role,false,false,
agent_alerts,agentAlerts,agent-schema.ts,module,varchar,module,false,false,
agent_alerts,agentAlerts,agent-schema.ts,relatedId,varchar,related_id,false,false,
agent_alerts,agentAlerts,agent-schema.ts,isRead,boolean,is_read,true,false,
agent_alerts,agentAlerts,agent-schema.ts,readAt,timestamp,read_at,false,false,
agent_alerts,agentAlerts,agent-schema.ts,telegramSent,boolean,telegram_sent,true,false,
agent_alerts,agentAlerts,agent-schema.ts,telegramMessageId,varchar,telegram_message_id,false,false,
agent_alerts,agentAlerts,agent-schema.ts,actionRequired,boolean,action_required,true,false,
agent_alerts,agentAlerts,agent-schema.ts,actions,jsonb,actions,false,false,
agent_alerts,agentAlerts,agent-schema.ts,createdAt,timestamp,created_at,true,false,
agent_cron_state,agentCronState,agent-schema.ts,agentName,varchar,agent_name,true,false,
agent_cron_state,agentCronState,agent-schema.ts,lastRunAt,timestamp,last_run_at,false,false,
agent_cron_state,agentCronState,agent-schema.ts,nextRunAt,timestamp,next_run_at,false,false,
agent_cron_state,agentCronState,agent-schema.ts,lastSuccess,boolean,last_success,false,false,
agent_cron_state,agentCronState,agent-schema.ts,lastError,text,last_error,false,false,
agent_cron_state,agentCronState,agent-schema.ts,runCount,integer,run_count,true,false,
agent_cron_state,agentCronState,agent-schema.ts,updatedAt,timestamp,updated_at,true,false,
agent_module_health,agentModuleHealth,agent-schema.ts,moduleName,varchar,module_name,true,false,
agent_module_health,agentModuleHealth,agent-schema.ts,healthScore,integer,health_score,true,false,
agent_module_health,agentModuleHealth,agent-schema.ts,errors_24h,integer,errors_24h,true,false,
agent_module_health,agentModuleHealth,agent-schema.ts,avgResponseMs,integer,avg_response_ms,false,false,
agent_module_health,agentModuleHealth,agent-schema.ts,lastError,text,last_error,false,false,
agent_module_health,agentModuleHealth,agent-schema.ts,lastCheckAt,timestamp,last_check_at,true,false,
