type,label_or_comp,url_or_path,kind,file_line
nav,"SD Dashboard",sd/dashboard,route-yes,constants.ts:114
nav,"Mijozlar",sd/customers,route-yes,constants.ts:115
nav,"Lidlar",crm-workspace,route-yes,constants.ts:116
nav,"Sotish Paneli",sales,route-yes,constants.ts:118
nav,"AI CRM",ai/crm,route-yes,constants.ts:119
nav,"Taklifnomalar",sd/sales-quotes,route-yes,constants.ts:120
nav,"Buyurtmalar",sd/sales-orders,route-yes,constants.ts:121
nav,"Papka Buyurtmalari",papka-orders,route-yes,constants.ts:122
nav,"Shartnomalar",sd/contracts,route-yes,constants.ts:123
nav,"Buyurtma Yaratish",order-create,route-yes,constants.ts:124
nav,"Buyurtma Workflow",order-workflow,route-yes,constants.ts:125
nav,"Ombor Ijara",sd/warehouse-rental,route-yes,constants.ts:129
nav,"70% Avans Nazorat",sd/advance-control,route-yes,constants.ts:132
nav,"KPI",sd/kpi,route-yes,constants.ts:134
nav,"Sozlamalar",sd/settings,route-yes,constants.ts:135
nav,"Dashboard",marketing/dashboard,route-yes,constants.ts:144
nav,"Lidlar",marketing/leads,route-yes,constants.ts:145
nav,"Kampaniyalar",marketing/campaigns,route-yes,constants.ts:146
nav,"Kontent",marketing/content,route-yes,constants.ts:148
nav,"Social Inbox",marketing/social-inbox,route-yes,constants.ts:149
nav,"Taqvim",marketing/calendar,route-yes,constants.ts:150
nav,"PR Faoliyat",marketing/pr,route-yes,constants.ts:153
nav,"Tahlil (ROI/ROAS)",marketing/analytics,route-yes,constants.ts:155
nav,"SEO Monitoring",marketing/seo,route-yes,constants.ts:156
nav,"A/B Testing",marketing/ab-testing,route-yes,constants.ts:157
nav,"Raqobatchilar",marketing/competitors,route-yes,constants.ts:158
nav,"NPS va Churn",marketing/nps-churn,route-yes,constants.ts:159
nav,"Web sayt CMS",marketing/website-cms,route-yes,constants.ts:161
nav,"Byudjet",marketing/budget,route-yes,constants.ts:162
nav,"Sozlamalar",marketing/settings,route-yes,constants.ts:163
nav,"Dizayn Dashboard",design/dashboard,route-yes,constants.ts:172
nav,"Dizayn Buyurtmalar",design/orders,route-yes,constants.ts:173
nav,"Dizayn Tasdiqlash",design/approval,route-yes,constants.ts:174
nav,"AI Generator",design/generator,route-yes,constants.ts:176
nav,"AI Dizayn Tekshiruvi",design/ai-review,route-yes,constants.ts:177
nav,"3D Mockup",design/3d-mockup,route-yes,constants.ts:178
nav,"Dizayn Taqqoslash",design/comparison,route-yes,constants.ts:179
nav,"Dizayn Kutubxona",design/library,route-yes,constants.ts:181
nav,"Brend Guidelines",design/brand-guidelines,route-yes,constants.ts:182
