method,path,file,line,handler,module,guards,public,roles,kind,svcCall,hasFrontendCaller
GET,/api/admin/cron-status,modules/admin/presentation/controllers/admin-cron-status.controller.ts,30,getCronStatus,admin,"JwtAuthGuard, RolesGuard",false,UserRole.SUPER_ADMIN,UserRole.DIRECTOR,svc,cronStatusService.getAllStatuses,false
GET,/api/admin/roles,modules/admin/presentation/controllers/admin-extra.controller.ts,27,getRoles,admin,"JwtAuthGuard, RolesGuard",false,,svc,svc.getRoles,false
GET,/api/admin/logs,modules/admin/presentation/controllers/admin-extra.controller.ts,33,getLogs,admin,"JwtAuthGuard, RolesGuard",false,,svc,svc.getLogs,false
GET,/api/admin/audit,modules/admin/presentation/controllers/admin-extra.controller.ts,42,getAudit,admin,"JwtAuthGuard, RolesGuard",false,,svc,svc.getAudit,true
GET,/api/admin/audit-filtered,modules/admin/presentation/controllers/admin-extra.controller.ts,48,getAuditFiltered,admin,"JwtAuthGuard, RolesGuard",false,,svc,svc.getLogsFiltered,true
GET,/api/admin/audit-tables,modules/admin/presentation/controllers/admin-extra.controller.ts,67,getAuditTables,admin,"JwtAuthGuard, RolesGuard",false,,svc,svc.getDistinctTables,true
GET,/api/admin/system,modules/admin/presentation/controllers/admin-extra.controller.ts,73,getSystemStatus,admin,"JwtAuthGuard, RolesGuard",false,,svc,svc.getSystemStatus,false
GET,/api/admin/system/alerts/:id,modules/admin/presentation/controllers/admin-extra.controller.ts,79,getAlert,admin,"JwtAuthGuard, RolesGuard",false,,svc,svc.getAlertById,false
POST,/api/admin/login,modules/admin/presentation/controllers/admin-extra.controller.ts,85,adminLogin,admin,"JwtAuthGuard, RolesGuard",false,,real?,,false
GET,/api/admin/queues/status,modules/admin/presentation/controllers/admin-queue.controller.ts,27,getStatus,admin,"JwtAuthGuard, RolesGuard",false,,svc,svc.getStatus,true
GET,/api/admin/queues/failed,modules/admin/presentation/controllers/admin-queue.controller.ts,34,getAllFailed,admin,"JwtAuthGuard, RolesGuard",false,,svc,svc.getAllFailed,true
GET,/api/admin/queues/failed/:queue,modules/admin/presentation/controllers/admin-queue.controller.ts,41,getFailedByQueue,admin,"JwtAuthGuard, RolesGuard",false,,svc,svc.getFailedByQueue,true
POST,/api/admin/queues/retry/:queue/:jobId,modules/admin/presentation/controllers/admin-queue.controller.ts,49,retryJob,admin,"JwtAuthGuard, RolesGuard",false,,svc,svc.retryJob,true
DELETE,/api/admin/queues/failed/:id,modules/admin/presentation/controllers/admin-queue.controller.ts,58,deleteFailedJob,admin,"JwtAuthGuard, RolesGuard",false,,svc,svc.deleteFailedJob,true
