url,page,module
/system-monitor,SystemMonitor,system-monitor
/telegram-bot,TelegramBotAdmin,telegram-bot
/approvals,ApprovalHub,approvals
/integrations,IntegrationManagement,integrations
/customer-portal,CustomerPortalConfig,customer-portal
/admin/audit-log,AuditLogPage,admin
/integration/gl-posting,GLPostingMonitor,integration
/integration/invoice-verification,InvoiceVerification,integration
/lms/gamification,LMSExtended,lms
/lms/support,LMSSupport,lms
/orders-registry,OrdersRegistry,orders-registry
/ai/agents,AIAgentsPage,ai
/admin/validate,ValidatePage,admin
/dashboard/progress,ProgressPage,dashboard
/hr/face-employees,EmployeesForFacePage,hr
/pos/stock,PosStockPage,pos
/pos/warehouse,PosWarehousePage,pos
/pos/wh,PosWarehousePage,pos
/pos/sync,PosSyncPage,pos
/ai/forecast,ForecastAnalytics,ai
/courses/:id/lessons,LessonPlayer,courses
/courses/:id/lessons/:lessonId,LessonPlayer,courses
/knowledge-base,KnowledgeBase,knowledge-base
/ai-crm,AiCrmPage,ai-crm
/crm/funnel,CrmFunnelAnalytics,crm
/crm/rfm,CrmRfmClusters,crm
/crm/cohort,CrmCohortAnalysis,crm
/crm/activities,CRMActivities,crm
/crm/settings,CRMSettings,crm
/erp/sales,SalesOrders,erp
/sd/quotations,SDQuotations,sd
/sd/crm,SDEuroprint,sd
/sd/sales-management,SDSalesManagement,sd
/sd/invoices,SDSalesManagement,sd
/sd/forecast,SDSalesManagement,sd
/sd/analytics,SDSalesManagement,sd
/sd/commission,SDSalesManagement,sd
/sd/debitors,SDDebitors,sd
/sd/dashboard/overview,SDOverviewDashboard,sd
/sd/dashboard/quota,SDQuotaDashboard,sd
/attendance-monitor,AttendanceMonitorPage,attendance-monitor
/employee-tracking,EmployeeTrackingReport,employee-tracking
/europrint/camera-ai-analytics,CameraAIAnalytics,europrint
/security,SecurityDashboard,security
/coordination,CoordinationPage,coordination
/crm/customer/:id,Customer360Page,crm
/erp-daily-reports,ERPDailyReports,erp-daily-reports
/erp/employee/:id,EmployeeProfile,erp
/director/production,DirectorExtended,director
/director/hr-stats,DirectorExtended,director
/director/finance,DirectorExtended,director
/director/kpis,DirectorExtended,director
/director/ai-audit,DirectorAiAudit,director
/cfo/dashboard,CFODashboard,cfo
/finance/gl-chart-of-accounts,GLChartOfAccounts,finance
/cfo/config,CfoConfigSettings,cfo
/finance/variance,FinanceVariance,finance
/finance/break-even,FinanceBreakEven,finance
/finance/pricing-tiers,PricingTiers,finance
/org-chart,OrgChartPage,org-chart
/adaptation,Adaptation,adaptation
/business-health,RACIMatrixPage,business-health
/hr/succession-planning,HRSuccessionPlanning,hr
/org-structure/hierarchy/node/:id,OrgNodeDetail,org-structure
/hr/recruiter-kpi,RecruiterKPIPage,hr
/hr/peer-review,PeerReviewPage,hr
/hr/candidate-report/:id,CandidateReport,hr
/hr/inspection,InspectionPage,hr
/hr/internal-jobs,InternalJobBoard,hr
/erp-production,ERPProduction,erp-production
/order-approval,OrderApprovalWorkflow,order-approval
/technology,Technology,technology
/tech/dashboard-home,TechDashboard,tech
/tech-approval,TechApproval,tech-approval
/tech-cards,TechCards,tech-cards
/pp/mrp,MrpMatrix,pp
/pp/crp,CrpPage,pp
/qc/dashboard-home,QCDashboard,qc
/qc-module,QCModule,qc-module
/print/ink-coverage,InkCoverageCalculator,print
/print/imposition,ImpositionCalculator,print
/qc/paper-parameters,qc/PaperParametersPage,qc
/design-orders/:id,DesignOrderDetail,design-orders
/iot/material-kits,WarehouseMaterialKits,iot
/360,Customer360Page,360
/ai,agents/AgentsHub,ai
/ai-camera,CameraAIAnalytics,ai-camera
/ai-exam,AIExams,ai-exam
/ai/hr,HRAIDashboard,ai
/ai/marketing,AiCrmPage,ai
/ai-planning,AIProductionPlanning,ai-planning
/ai/wms,WmsAnalytics,ai
/assignments,MESWorkerAssignments,assignments
/insights,Analytics,insights
/integration/requests,IntegrationManagement,integration
/inventory/advanced,POSInventoryPage,inventory
/iot-enhanced,IoTExtended,iot-enhanced
/pos/mini-app,POSDashboard,pos
/video-progress,LessonPlayer,video-progress
/auth,StubPage,auth
/export,StubPage,export
/gpt,StubPage,gpt
/micro-modules,StubPage,micro-modules
/modules,StubPage,modules
/pos/printer-config,StubPage,pos
/sap,StubPage,sap
/v2/pos/printer-config,StubPage,v2
/3way-match,ThreeWayMatchPage,3way-match
/achievements,AchievementsPage,achievements
/ai/automation,AiAutomationPage,ai
/application-responses,ApplicationResponsesPage,application-responses
/approval-workflow,ApprovalWorkflowPage,approval-workflow
/attempts,AttemptsPage,attempts
/calendar-events,CalendarEventsPage,calendar-events
/candidates,CandidatesPage,candidates
/company-state,CompanyStatePage,company-state
/daily-attendance,AttendanceMonitorPage,daily-attendance
/discipline-records,Discipline,discipline-records
/employee-files,EmployeeFilesPage,employee-files
/employee-productivity,EmployeeProductivityPage,employee-productivity
/employee-zone-history,EmployeeZoneHistoryPage,employee-zone-history
/equipment,EquipmentPage,equipment
/europrint-control,EuroprintControlPage,europrint-control
/gl,GLDocuments,gl
/hr/leave,HRVacationSick,hr
/hr/zno,HRZnoPage,hr
/hr/zvs,HRZvsPage,hr
/iot-sensors,IotSensorsPage,iot-sensors
/machine-status-current,MachineStatusPage,machine-status-current
/machine-status-logs,MachineStatusPage,machine-status-logs
/material-cards,MaterialCardsPage,material-cards
/mentors,MentorsPage,mentors
/mentorships,MentorshipsPage,mentorships
/okr,OkrPage,okr
/order-status,OrderStatusPage,order-status
/org-departments,OrgDepartmentsPage,org-departments
/pos/barcode,PosBarcPage,pos
/pos/inventory-counts,PosInventoryCountsPage,pos
/pos/movements,PosMovementsPage,pos
/pos/requests,PosRequestsPage,pos
/production-facts,ProductionFactsPage,production-facts
/production/shift-reports,ShiftReportsPage,production
/quality-defects-camera,QualityDefectsCameraPage,quality-defects-camera
/questionnaire-questions,QuestionnaireQuestionsPage,questionnaire-questions
/questions,QuestionsPage,questions
/raci-crisis,RaciCrisisPage,raci-crisis
/raw-materials,RawMaterialsPage,raw-materials
/safety-violations,SafetyViolationsPage,safety-violations
/users,UsersPage,users
/waste,WastePage,waste
/weekly-plans,WeeklyPlansPage,weekly-plans
/warehouse/barcode-ops,BarcodeWarehouse,warehouse
/warehouse-directory,WarehouseDirectory,warehouse-directory
/warehouse/inventory-count,InventoryCount,warehouse
/warehouse/goods-receiving,GoodsReceiving,warehouse
/warehouse/reservations,StockReservation,warehouse
/warehouse/reports,WarehouseReports,warehouse
/warehouse/barcodes,BarcodeSystem,warehouse
/warehouse/integrations,WarehouseIntegrations,warehouse
/barcode-warehouse,BarcodeWarehouse,barcode-warehouse
/mm/supply-chain,SupplyChainDashboard,mm
/wms/grn,GoodsReceiving,wms
/wms/reservation,StockReservation,wms
/wms/lot-traceability,WMSExtended,wms
/wms/kpi,WMSExtended,wms
/wms/dashboard,WMSDashboard,wms
/wms/analytics,WmsAnalytics,wms
/wms/reports-all,WarehouseReportsAll,wms
/wms/material/360/:id,WarehouseMaterial360,wms
/wms/scanner,BarcodeScanner,wms
/logistics,LogisticsDashboard,logistics
